Player,2000,2001,2002,2003,2004,2007,2008,2009,2011,2012,2015,2016,2017,2018,2019,2020,2022,2023,2024,Count
Aaron Ekblad,,,,,,,,,,,1,1,,,,,,,,2
Adam Fox,,,,,,,,,,,,,,,,,1,1,,2
Adam Pelech,,,,,,,,,,,,,,,,,1,,,1
Adrian Aucoin,,,,,1,,,,,,,,,,,,,,,1
Adrian Kempe,,,,,,,,,,,,,,,,,1,,,1
Al MacInnis,1,,,1,,,,,,,,,,,,,,,,2
Aleksander Barkov,,,,,,,,,,,,,,1,,,,1,,2
Alex DeBrincat,,,,,,,,,,,,,,,,,1,,1,2
Alex Kovalev,,1,,1,,,,1,,,,,,,,,,,,3
Alex Ovechkin,,,,,,1,1,1,1,,1,,1,1,,1,1,1,,10
Alex Pietrangelo,,,,,,,,,,,,,,1,,1,1,,,3
Alex Tanguay,,,,,1,,,,,,,,,,,,,,,1
Alexander Edler,,,,,,,,,,1,,,,,,,,,,1
Alexander Georgiev,,,,,,,,,,,,,,,,,,,1,1
Alexei Yashin,,,1,,,,,,,,,,,,,,,,,1
Alexei Zhamnov,,,1,,,,,,,,,,,,,,,,,1
Alexei Zhitnik,,,1,,,,,,,,,,,,,,,,,1
Andrei Markov,,,,,,,1,1,,,,,,,,,,,,2
Andrei Svechnikov,,,,,,,,,,,,,,,,,,1,,1
Andrei Vasilevskiy,,,,,,,,,,,,,,1,1,1,1,1,,5
Andy McDonald,,,,,,1,,,,,,,,,,,,,,1
Anthony Duclair,,,,,,,,,,,,,,,,1,,,,1
Anže Kopitar,,,,,,,1,,1,,1,,,1,,1,,,,5
Artemi Panarin,,,,,,,,,,,,,,,,1,,1,,2
Auston Matthews,,,,,,,,,,,,,1,1,1,1,1,1,1,7
Ben Bishop,,,,,,,,,,,,1,,,,,,,,1
Bill Guerin,,1,,1,1,1,,,,,,,,,,,,,,4
Blake Wheeler,,,,,,,,,,,,,,1,1,,,,,2
Bo Horvat,,,,,,,,,,,,,1,,,,,1,,2
Bobby Ryan,,,,,,,,,,,1,,,,,,,,,1
Boone Jenner,,,,,,,,,,,,,,,,,,,1,1
Brad Marchand,,,,,,,,,,,,,1,1,,,,,,2
Brad Richards,,,,,,,,,1,,,,,,,,,,,1
Braden Holtby,,,,,,,,,,,,1,1,1,1,1,,,,5
Brady Tkachuk,,,,,,,,,,,,,,,,1,1,1,1,4
Brandon Saad,,,,,,,,,,,,1,,,,,,,,1
Brayden Point,,,,,,,,,,,,,,1,,,,,,1
Brayden Schenn,,,,,,,,,,,,,,1,,,,,,1
Brendan Shanahan,1,,1,,,1,,,,,,,,,,,,,,3
Brent Burns,,,,,,,,,1,,1,1,1,1,1,,,,,6
Brent Seabrook,,,,,,,,,,,1,,,,,,,,,1
Brett Hull,,1,,,,,,,,,,,,,,,,,,1
Brian Boyle,,,,,,,,,,,,,,1,,,,,,1
Brian Campbell,,,,,,1,1,1,,1,,,,,,,,,,4
Brian Elliott,,,,,,,,,,1,1,,,,,,,,,2
Brian Leetch,,1,1,,,,,,,,,,,,,,,,,2
Brian Rafalski,,,,,1,1,,,,,,,,,,,,,,2
Brian Rolston,,,,,,1,,,,,,,,,,,,,,1
Brock Boeser,,,,,,,,,,,,,,1,,,,,1,2
Brock Nelson,,,,,,,,,,,,,,,,,,1,,1
Cale Makar,,,,,,,,,,,,,,,,,1,1,1,3
Cam Atkinson,,,,,,,,,,,,,1,,1,,,,,2
Cam Fowler,,,,,,,,,,,,,1,,,,,,,1
Cam Talbot,,,,,,,,,,,,,,,,,1,,1,2
Cam Ward,,,,,,,,,1,,,,,,,,,,,1
Carey Price,,,,,,,,1,1,1,1,,1,1,,,,,,6
Chandler Stephenson,,,,,,,,,,,,,,,,,,1,,1
Chris Chelios,1,,1,,,,,,,,,,,,,,,,,2
Chris Kreider,,,,,,,,,,,,,,,,1,1,,,2
Chris Osgood,,,,,,,1,,,,,,,,,,,,,1
Chris Pronger,1,,1,,1,,1,,,,,,,,,,,,,4
Claude Giroux,,,,,,,,,1,1,1,1,,1,1,,1,,,7
Clayton Keller,,,,,,,,,,,,,,,1,,1,1,1,4
Connor Hellebuyck,,,,,,,,,,,,,,1,,1,,1,1,4
Connor McDavid,,,,,,,,,,,,,1,1,1,1,1,1,1,7
Corey Crawford,,,,,,,,,,,1,,1,,,,,,,2
Corey Perry,,,,,,,1,,1,1,,1,,,,,,,,4
Cory Schneider,,,,,,,,,,,,1,,,,,,,,1
Cristobal Huet,,,,,,1,,,,,,,,,,,,,,1
Curtis Joseph,1,,,,,,,,,,,,,,,,,,,1
Dan Boyle,,,,,,,,1,1,,,,,,,,,,,2
Dan Girardi,,,,,,,,,,1,,,,,,,,,,1
Daniel Alfredsson,,,,,1,,1,,,1,,,,,,,,,,3
Daniel Brière,,,,,,1,,,1,,,,,,,,,,,2
Daniel Sedin,,,,,,,,,1,1,,1,,,,,,,,3
Dany Heatley,,,,1,,1,,1,,,,,,,,,,,,3
Darcy Kuemper,,,,,,,,,,,,,,,,1,,,,1
David Backes,,,,,,,,,1,,,,,,,,,,,1
David Pastrňák,,,,,,,,,,,,,,,1,1,,1,1,4
David Perron,,,,,,,,,,,,,,,,1,,,,1
David Rittich,,,,,,,,,,,,,,,,1,,,,1
Dennis Wideman,,,,,,,,,,1,,,,,,,,,,1
Devan Dubnyk,,,,,,,,,,,,1,1,,1,,,,,3
Dion Phaneuf,,,,,,1,1,,,1,,,,,,,,,,3
Dmitry Yushkevich,1,,,,,,,,,,,,,,,,,,,1
Dominik Hašek,,1,1,,,,,,,,,,,,,,,,,2
Donald Audette,,1,,,,,,,,,,,,,,,,,,1
Doug Weight,,1,,1,,,,,,,,,,,,,,,,2
Dougie Hamilton,,,,,,,,,,,,,,,,1,,,,1
Drake Batherson,,,,,,,,,,,,,,,,,1,,,1
Drew Doughty,,,,,,,,,,,1,1,1,1,1,,,,,5
Duncan Keith,,,,,,,1,,1,,1,,1,,,,,,,4
Dustin Brown,,,,,,,,1,,,,,,,,,,,,1
Dustin Byfuglien,,,,,,,,,1,,1,1,,,,,,,,3
Dwayne Roloson,,,,,1,,,,,,,,,,,,,,,1
Dylan Larkin,,,,,,,,,,,,1,,,,,1,1,,3
Ed Jovanovski,,1,1,1,,1,1,,,,,,,,,,,,,5
Elias Lindholm,,,,,,,,,,,,,,,,,,,1,1
Elias Pettersson,,,,,,,,,,,,,,,1,1,,1,1,4
Eric Brewer,,,,1,,,,,,,,,,,,,,,,1
Éric Dazé,,,1,,,,,,,,,,,,,,,,,1
Éric Desjardins,1,,,,,,,,,,,,,,,,,,,1
Eric Lindros,1,,,,,,,,,,,,,,,,,,,1
Eric Staal,,,,,,1,1,1,1,,,,,1,,1,,,,6
Erik Karlsson,,,,,,,,,1,1,,1,1,1,1,,,1,,7
Espen Knutsen,,,1,,,,,,,,,,,,,,,,,1
Evgeni Malkin,,,,,,,1,1,,1,,1,,,,,,,,4
Evgeni Nabokov,,1,,,,,1,,,,,,,,,,,,,2
Evgeny Kuznetsov,,,,,,,,,,,,1,,,,,1,,,2
Filip Forsberg,,,,,,,,,,,1,,,,,,,,1,2
Filip Kuba,,,,,1,,,,,,,,,,,,,,,1
