Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Gagnon,C,2,0.00,0.00,0.00,gagnoaa01
Aaron Johnson,D,41,0.10,0.15,0.24,johnsaa01
Aaron Rome,D,49,0.00,0.08,0.08,romeaa01
Aaron Voros,LW,41,0.07,0.10,0.17,vorosaa01
Aaron Ward,D,77,0.01,0.16,0.17,wardaa01
Adam Burish,C,13,0.08,0.23,0.31,burisad01
Adam Foote,D,67,0.00,0.13,0.13,footead01
Adam Mair,C,69,0.09,0.12,0.20,mairad01
Adam McQuaid,D,19,0.05,0.00,0.05,mcquaad01
Adam Pardy,D,57,0.04,0.12,0.16,pardyad01
Adrian Aucoin,D,82,0.10,0.24,0.34,aucoiad01
Alec Martinez,D,4,0.00,0.00,0.00,martial01
Aleš Hemský,RW,22,0.32,0.68,1.00,hemskal01
Aleš Kotalík,RW,71,0.15,0.23,0.38,kotalal01
Alex Auld,G,24,0.00,0.08,0.08,auldal01
Alex Frolov,LW,81,0.23,0.40,0.63,froloal01
Alex Goligoski,D,69,0.12,0.42,0.54,goligal01
Alex Kovalev,RW,77,0.23,0.40,0.64,kovalal01
Alex Ovechkin,LW,72,0.69,0.82,1.51,ovechal01
Alex Pietrangelo,D,9,0.11,0.11,0.22,pietral01
Alex Plante,D,4,0.00,0.25,0.25,plantal01
Alex Tanguay,LW,80,0.13,0.34,0.46,tangual01
Alexander Edler,D,76,0.07,0.49,0.55,edleral01
Alexander Pechurski,G,1,0.00,0.00,0.00,pechual01
Alexander Salák,G,2,0.00,0.00,0.00,salakal01
Alexander Semin,LW,73,0.55,0.60,1.15,seminal01
Alexander Steen,C,68,0.35,0.34,0.69,steenal01
Alexander Sulzer,D,20,0.00,0.10,0.10,sulzeal01
Alexandre Bolduc,C,15,0.00,0.00,0.00,boldual01
Alexandre Burrows,LW,82,0.43,0.39,0.82,burroal01
Alexandre Giroux,C,9,0.11,0.22,0.33,giroual01
Alexandre Picard,D,54,0.07,0.20,0.28,picaral01
Alexandre Picard,LW,9,0.00,0.00,0.00,picaral02
Alexei Ponikarovsky,LW,77,0.27,0.38,0.65,ponikal01
Anders Eriksson,D,20,0.00,0.25,0.25,eriksan01
André Deveaux,C,1,0.00,0.00,0.00,deveaan01
Andreas Lilja,D,20,0.05,0.05,0.10,liljaan01
Andreas Nödl,RW,10,0.00,0.10,0.10,nodlan01
Andreas Thuresson,RW,22,0.05,0.09,0.14,thurean01
Andrei Kostitsyn,LW,59,0.25,0.31,0.56,kostian01
Andrei Loktionov,C,1,0.00,0.00,0.00,loktian01
Andrei Markov,D,45,0.13,0.62,0.76,markoan01
Andrej Meszároš,D,81,0.07,0.14,0.21,meszaan01
Andrej Sekera,D,49,0.08,0.14,0.22,sekeran01
Andrew Alberts,D,76,0.04,0.12,0.16,alberan01
Andrew Bodnarchuk,D,5,0.00,0.00,0.00,bodnaan01
Andrew Brunette,LW,82,0.30,0.44,0.74,brunean01
Andrew Cogliano,C,82,0.12,0.22,0.34,coglian01
Andrew Ebbett,C,61,0.15,0.10,0.25,ebbetan01
Andrew Ference,D,51,0.00,0.16,0.16,ferenan01
Andrew Gordon,RW,2,0.00,0.00,0.00,gordoan01
Andrew Ladd,LW,82,0.21,0.26,0.46,laddan01
Andrew MacDonald,D,46,0.02,0.13,0.15,macdoan01
Andrew Murray,C,46,0.11,0.04,0.15,murraan01
Andrew Peters,LW,29,0.00,0.00,0.00,peteran01
Andrew Raycroft,G,21,0.00,0.00,0.00,raycran01
Andy Greene,D,78,0.08,0.40,0.47,greenan01
Andy Hilbert,C,4,0.00,0.00,0.00,hilbean01
Andy McDonald,C,79,0.30,0.42,0.72,mcdonan01
Andy Sutton,D,72,0.07,0.11,0.18,suttoan01
Andy Wozniewski,D,2,0.00,0.00,0.00,woznian01
