TEAM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Anaheim Ducks,9,16,2,7,,2,,3,7,11,3,10,0,,,,,
Arizona Coyotes,,,,,3,0,9,,,,,,,,4,,,
Boston Bruins,,,3,7,7,16,3,14,7,,,2,5,15,5,6,3,3
Buffalo Sabres,11,9,,,2,3,,,,,,,,,,,,
Calgary Flames,3,2,3,2,,,,,,5,,0,,1,5,,5,
Carolina Hurricanes,16,,,8,,,,,,,,,,8,4,5,7,8
Chicago Blackhawks,,,,9,16,3,2,16,11,16,3,0,,,4,,,
Colorado Avalanche,4,,4,,2,,,,3,,,,2,7,9,6,16,3
Columbus Blue Jackets,,,,0,,,,,2,,,1,2,6,4,,,
Dallas Stars,1,3,10,,,,,,2,,7,,,7,15,,3,10
Detroit Red Wings,2,10,16,15,5,7,1,7,1,3,1,,,,,,,
Edmonton Oilers,15,,,,,,,,,,,7,,,1,0,8,6
Florida Panthers,,,,,,,3,,,,2,,,,1,2,4,13
Los Angeles Kings,,,,,2,2,16,9,16,,1,,0,,,,3,2
Minnesota Wild,,1,2,,,,,1,6,4,2,1,1,,1,3,2,
Montreal Canadiens,2,,5,0,9,3,,1,10,6,,2,,,5,13,,2
Nashville Predators,1,1,2,,2,6,5,,,2,7,14,7,2,1,2,0,
New Jersey Devils,5,5,1,3,1,,14,,,,,,1,,,,,5
New York Islanders,,1,,,,,,2,,3,5,,,4,13,11,,2
New York Rangers,0,6,5,3,,1,10,5,13,11,1,6,,,0,,10,3
Ottawa Senators,5,13,0,,2,,3,5,,2,,11,,,,,,
Philadelphia Flyers,2,,9,2,14,4,5,,3,,2,,2,,10,,,
Pittsburgh Penguins,,1,14,16,7,3,2,8,7,1,16,16,6,0,1,2,3,
San Jose Sharks,6,6,6,2,8,9,1,7,3,,14,2,6,10,,,,
Seattle Kraken,,,,,,,,,,,,,,,,,,7
St Louis Blues,,,,0,,,4,2,2,2,10,6,,16,2,0,6,
Tampa Bay Lightning,1,2,,,,11,,,0,14,11,,11,0,16,16,14,2
Toronto Maple Leafs,,,,,,,,3,,,,2,3,3,2,3,3,5
Vancouver Canucks,,5,,6,6,15,1,0,,2,,,,,10,,,
Vegas Golden Knights,,,,,,,,,,,,,13,3,12,10,,16
Washington Capitals,,,3,7,3,4,7,3,,7,6,7,16,3,2,1,2,
Winnipeg Jets,,0,,,,,,,,0,,,9,2,1,4,,1
