Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,St. Louis Blues,26,16,10,0,2,2,.615,75,70,5
2,Boston Bruins,24,15,9,0,1,2,.625,79,51,28
3,San Jose Sharks,20,10,10,0,3,1,.500,58,66,-8
4,Carolina Hurricanes,15,8,7,0,2,1,.533,39,42,-3
5,Colorado Avalanche,12,7,5,0,3,0,.583,35,31,4
6,Dallas Stars,13,7,6,0,1,2,.538,35,30,5
7,Columbus Blue Jackets,10,6,4,0,1,1,.600,30,25,5
8,New York Islanders,8,4,4,0,1,1,.500,19,19,0
9,Vegas Golden Knights,7,3,4,0,0,2,.429,25,23,2
10,Toronto Maple Leafs,7,3,4,0,0,0,.429,17,23,-6
11,Washington Capitals,7,3,4,0,1,1,.429,20,21,-1
12,Nashville Predators,6,2,4,0,1,1,.333,12,18,-6
13,Winnipeg Jets,6,2,4,0,1,0,.333,16,16,0
14,Calgary Flames,5,1,4,0,0,2,.200,11,17,-6
15,Pittsburgh Penguins,4,0,4,0,0,1,.000,6,14,-8
16,Tampa Bay Lightning,4,0,4,0,0,0,.000,8,19,-11
,League Average,10.9,5.4,5.4,0.0,1.2,1.2,.500,30.3,30.3,0
