,Team A,Asset Sent,Asset Received,Team B,Num Players Sent,Num Player Received,Year,Month,Day
23,Canadiens, • cash, • Tommy Smith,Senators,1,1,1918,11,28
24,Senators, • Tommy Smith, • cash,Canadiens,1,1,1918,11,28
109,Bruins, • Lionel Hitchman, • cash,Senators,1,1,1925,1,10
110,Senators, • cash, • Lionel Hitchman,Bruins,1,1,1925,1,10
116,Bruins, • Sprague Cleghorn, • $5K cash,Canadiens,1,1,1925,11,8
117,Canadiens," • $5,000 cash", • Sprague Cleghorn,Bruins,1,1,1925,11,8
147,Blackhawks, • cash, • Art Gagne,Canadiens,1,1,1926,10,18
148,Canadiens, • Art Gagne, • cash,Blackhawks,1,1,1926,10,18
155,Bruins, • Billy Coutu, • Amby Moran,Canadiens,1,1,1926,10,22
156,Canadiens, • Amby Moran, • Billy Coutu,Bruins,1,1,1926,10,22
190,Bruins, • Billy Boucher, • Carson Cooper,Canadiens,1,1,1927,1,17
191,Bruins, • rights to Hal Winkler," • $5,000 cash",Rangers,1,1,1927,1,17
192,Canadiens, • Carson Cooper, • Billy Boucher,Bruins,1,1,1927,1,17
193,Rangers," • $5,000 cash", • rights to Hal Winkler,Bruins,1,1,1927,1,17
194,Bruins, • cash, • Stan Jackson,Senators,1,1,1927,1,18
195,Senators, • Stan Jackson, • cash,Bruins,1,1,1927,1,18
208,Blackhawks," • $15,000 cash", • George Hay• Percy Traub,RedWings,2,1,1927,4,11
209,RedWings, • George Hay• Percy Traub," • $15,000 cash",Blackhawks,1,2,1927,4,11
212,Bruins, • Carson Cooper, • Billy Boucher,Canadiens,1,1,1927,5,22
215,Canadiens, • Billy Boucher, • Carson Cooper,Bruins,1,1,1927,5,22
242,MapleLeafs, • Ed Gorman, • cash,Senators,1,1,1927,10,26
243,Senators, • cash, • Ed Gorman,MapleLeafs,1,1,1927,10,26
260,Bruins," • rights to Eric Pettinger• $15,000 cash", • Jim Herberts / Jimmy Herberts,MapleLeafs,1,2,1927,12,21
261,MapleLeafs, • Jim Herberts / Jimmy Herberts," • rights to Eric Pettinger• $15,000 cash",Bruins,2,1,1927,12,21
263,Blackhawks, • loan of Leo Lafrance, • cash,Canadiens,1,1,1927,12,30
264,Canadiens, • cash, • loan of Leo Lafrance,Blackhawks,1,1,1927,12,30
273,Canadiens, • George Patterson, • cash,MapleLeafs,1,1,1928,2,8
274,MapleLeafs, • cash, • George Patterson,Canadiens,1,1,1928,2,8
279,MapleLeafs," • rights to Jack Arbour• $12,500 cash", • Jim Herberts / Jimmy Herberts,RedWings,1,2,1928,4,8
280,RedWings, • Jim Herberts / Jimmy Herberts," • rights to Jack Arbour• $12,500 cash",MapleLeafs,2,1,1928,4,8
290,Bruins, • Eddie Rodden, • cash,MapleLeafs,1,1,1928,6,20
291,MapleLeafs, • cash, • Eddie Rodden,Bruins,1,1,1928,6,20
294,Blackhawks, • loan of Herb Gardiner, ,Canadiens,0,1,1928,8,27
295,Canadiens, , • loan of Herb Gardiner,Blackhawks,1,0,1928,8,27
298,Bruins, • rights to Frank Waite, • cash,Rangers,1,1,1928,9,1
302,Rangers, • cash, • rights to Frank Waite,Bruins,1,1,1928,9,1
319,MapleLeafs," • Lorne Chabot• Alex Gray / Peanuts Gray• $10,000 cash", • John Ross Roach / John Roach• Butch Keeling,Rangers,2,3,1928,10,17
320,Rangers, • John Ross Roach / John Roach• Butch Keeling," • Lorne Chabot• Alex Gray / Peanuts Gray• $10,000 cash",MapleLeafs,3,2,1928,10,17
327,Bruins, • Cy Denneny, • cash,Senators,1,1,1928,10,25
330,Senators, • cash, • Cy Denneny,Bruins,1,1,1928,10,25
352,Blackhawks, • loan of Art Lesieur for remainder of 1928-29 season, • loan of Herb Gardiner,Canadiens,1,1,1929,1,9
353,Canadiens, • loan of Herb Gardiner, • loan of Art Lesieur for remainder of 1928-29 season,Blackhawks,1,1,1929,1,9
354,Bruins, • rights to George Owen, • Eric Pettinger• rights to Hugh Plaxton,MapleLeafs,2,1,1929,1,10
