,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Gagnon,26,WPG,C,10,2,0.30,0.00,0.30,0.16,0.20,1.10,6,0,6,3,5,0,3,0,2,0.4,0.2,0.6,0,,,,gagnoaa01
2,Aaron Johnson,29,BOS,D,10,0,0.00,0.00,0.00,0.00,1.00,0.80,0,0,0,0,4,0,5,1,0,-0.2,0.3,0.1,0,,,,johnsaa01
3,Aaron Palushaj,23,COL,RW,25,3,0.08,0.28,0.36,0.12,0.32,1.16,4,13,17,6,14,1,15,0,-2,0.4,0.2,0.7,0,,,,palusaa01
4,Aaron Rome,29,DAL,D,27,1,0.00,0.19,0.19,0.05,0.67,0.56,0,9,9,2,15,0,25,8,-2,0.1,0.6,0.7,0,,,,romeaa01
5,Aaron Volpatti,27,TOT,RW,33,1,0.03,0.03,0.06,0.02,1.06,0.64,2,2,4,2,5,0,7,0,-2,-0.4,0.2,-0.2,0,,,,volpaaa01
5,Aaron Volpatti,27,WSH,RW,17,0,0.00,0.06,0.06,0.02,0.41,0.59,0,2,2,1,3,0,5,0,-2,-0.3,0.1,-0.3,0,,,,volpaaa01
5,Aaron Volpatti,27,VAN,RW,16,1,0.06,0.00,0.06,0.03,1.75,0.69,2,0,2,1,2,0,2,0,0,-0.1,0.1,0.0,0,,,,volpaaa01
6,Adam Burish,30,SJS,C,46,1,0.02,0.04,0.07,0.02,0.54,0.85,2,4,6,2,5,0,19,7,-7,-0.9,0.4,-0.5,0,,,,burisad01
7,Adam Cracknell,27,STL,RW,20,2,0.10,0.20,0.30,0.11,0.20,1.05,4,7,11,4,6,0,3,0,3,0.4,0.4,0.8,0,,,,crackad01
8,Adam Hall,32,TOT,RW,37,1,0.00,0.11,0.11,0.03,0.62,0.92,0,7,7,2,8,0,15,7,0,-0.7,0.4,-0.3,0,,,,hallad01
8,Adam Hall,32,TBL,RW,20,1,0.00,0.20,0.20,0.05,1.15,0.80,0,7,7,2,5,0,7,5,3,-0.1,0.3,0.1,0,,,,hallad01
8,Adam Hall,32,PHI,RW,11,0,0.00,0.00,0.00,0.00,0.00,1.36,0,0,0,0,3,0,6,2,-1,-0.3,0.1,-0.2,0,,,,hallad01
8,Adam Hall,32,CAR,RW,6,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,2,0,-2,-0.2,0.0,-0.2,0,,,,hallad01
9,Adam Henrique,22,NJD,C,42,8,0.26,0.12,0.38,0.18,0.38,1.86,21,9,30,14,31,8,37,11,-3,1.0,1.0,1.9,2,0,2,0.0,henriad01
10,Adam Larsson,20,NJD,D,37,2,0.00,0.16,0.16,0.05,0.32,0.81,0,11,11,3,27,0,27,4,4,-0.1,2.0,1.9,0,,,,larssad01
11,Adam McQuaid,26,BOS,D,32,1,0.03,0.09,0.13,0.04,1.88,0.81,2,6,8,3,15,0,15,0,0,0.0,0.9,1.0,0,,,,mcquaad01
12,Adam Pardy,28,BUF,D,17,1,0.00,0.24,0.24,0.06,0.82,0.35,0,7,7,2,11,0,9,2,4,0.1,0.9,1.0,0,,,,pardyad01
13,Adrian Aucoin,39,CBJ,D,36,1,0.00,0.11,0.11,0.03,0.44,0.72,0,7,7,2,13,0,23,2,-8,-0.3,0.7,0.4,0,,,,aucoiad01
14,Akim Aliu,23,CGY,RW,5,0,0.00,0.00,0.00,0.00,2.80,0.40,0,0,0,0,0,0,2,0,-2,-0.2,0.0,-0.2,0,,,,aliuak01
15,Al Montoya,27,WPG,G,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0,,,,montoal01
16,Alec Martinez,25,LAK,D,27,2,0.04,0.15,0.19,0.06,0.37,1.11,2,7,9,3,10,1,15,4,-2,0.2,0.8,1.0,0,,,,martial01
17,Aleš Hemský,29,EDM,RW,38,8,0.24,0.29,0.53,0.20,0.42,2.16,17,21,38,15,33,17,22,0,-6,1.5,0.4,2.0,3,1,2,33.3,hemskal01
18,Alex Chiasson,22,DAL,RW,7,3,0.86,0.14,1.00,0.49,0.00,1.86,12,2,14,7,7,1,3,0,3,1.2,0.2,1.4,0,,,,chiasal01
19,Alex Galchenyuk,18,MTL,C,48,10,0.19,0.38,0.56,0.20,0.42,1.65,17,34,51,19,37,4,19,0,14,2.3,1.1,3.5,5,2,3,40.0,galchal01
20,Alex Goligoski,27,DAL,D,47,8,0.06,0.51,0.57,0.17,0.38,1.70,6,45,51,16,63,19,45,5,4,2.1,2.4,4.4,0,,,,goligal01
21,Alex Killorn,23,TBL,C,38,7,0.18,0.32,0.50,0.18,0.37,2.16,14,22,36,14,30,7,34,5,-6,1.0,0.2,1.3,0,,,,killoal01
22,Alex Kovalev,39,FLA,RW,14,2,0.14,0.21,0.36,0.14,0.43,1.50,4,6,10,4,10,5,6,0,-1,0.2,0.2,0.4,0,,,,kovalal01
23,Alex Ovechkin,27,WSH,RW,48,23,0.67,0.50,1.17,0.49,0.75,4.58,62,45,107,46,81,40,40,1,2,7.0,1.0,8.0,3,3,0,100.0,ovechal01
